player_id,name,field_goal_percentage,three_point_percentage,free_throw_percentage,rebounds,assists,steals,blocks,turnovers,points
259,Jeremy Lamb,0.488,0.302,0.868,5.5,2.8,1.2,0.6,1.4,16.2
260,Romeo Langford,,,,0,0,0,0,0,0
261,Zach LaVine,0.436,0.414,0.807,4.1,4,1.2,0.5,3.3,22.5
262,Jake Layman,0.462,0.352,0.6,2.9,0.8,0.9,0.7,1.3,10.5
263,T.J. Leaf,0.448,0.455,0.625,3.8,0.4,0.5,0.2,0.4,4.1
264,Courtney Lee,0.588,0.571,,0.4,0.6,0,0.4,0,4.8
265,Damion Lee,0.385,0.343,0.848,3.9,1.8,0.7,0,1.2,10
266,Alex Len,0.517,0.154,0.683,4.4,0.9,0.5,0.8,1,7.3
267,Kawhi Leonard,0.436,0.318,0.852,7.7,5.2,1.9,0.8,3.4,24.5
268,Meyers Leonard,0.589,0.538,0.556,4.5,1,0.3,0.5,0.8,6
269,Caris LeVert,0.421,0.361,0.645,5,4,0.7,0.1,3.4,16.8
270,Damian Lillard,0.45,0.362,0.907,4.7,7.4,1,0.5,2.9,26.7
271,Nassir Little,0.406,0.185,0.611,3.4,0.5,0.4,0.4,0.6,4.3
272,Kevon Looney,0.375,1,0.5,3.8,0.5,0,0.5,1,3.8
273,Brook Lopez,0.393,0.279,0.932,4.9,1.4,0.7,2.5,1,10.2
274,Robin Lopez,0.489,0.342,0.588,2.8,0.7,0.2,0.7,1.3,5
275,Kevin Love,0.446,0.376,0.881,10.7,2.8,0.7,0.4,2.8,16.7
276,Kyle Lowry,0.439,0.381,0.911,4.5,7.1,1.1,0.4,3.2,20.5
277,Timothe Luwawu-Cabarrot,0,0,0.5,0,0,0,0,0,0.5
278,Trey Lyles,0.432,0.375,0.556,6.1,1.3,0.3,0.3,0.8,4.3
279,Daryl Macon,0.333,0.5,,0,0.3,0,0,0.7,1
280,Josh Magette,0.333,,0.5,1,0.7,0.7,0,1,1.7
281,Ian Mahinmi,0.4,,0.75,5,0,0,0,1,7
282,Thon Maker,0.535,0.5,0.516,1.8,0.4,0.3,0.6,0.5,3.3
283,Terance Mann,0.514,0.222,0.875,1.2,1.1,0.3,0.1,0.6,2.6
284,Boban Marjanovic,0.51,0,0.833,4.3,0.6,0.2,0.1,0.8,6.7
285,Lauri Markkanen,0.371,0.314,0.814,6.7,1.7,0.9,0.5,2,13.9
286,Caleb Martin,0.222,0,0.333,1.3,1,0.3,0.7,1,1.7
287,Cody Martin,0.357,0.056,0.682,2.3,1.1,0.8,0.1,0.4,2.9
288,Kelan Martin,0.341,0.208,,2.9,0.3,0.1,0.1,0.4,3.9
289,Frank Mason,0.25,0.5,0.5,0,1,0,0,0,2
290,Garrison Mathews,0,0,,0.5,1,0,0,0.5,0
291,Wesley Matthews,0.445,0.38,0.852,2.3,1.4,0.5,0.1,0.8,8.3
292,Patrick McCaw,0.6,0.333,0.5,3,1.5,1.5,0,1.5,4
293,CJ McCollum,0.45,0.389,0.83,4.4,3.8,0.7,0.9,2,22.1
294,T.J. McConnell,0.48,0.25,0.889,2.7,4.7,0.5,0.2,1.5,6.4
295,Jalen McDaniels,0.5,,,1,0,0,0,0,2
296,Doug McDermott,0.448,0.439,0.857,2.6,1.1,0.1,0.1,0.8,8.8
297,JaVale McGee,0.61,,0.654,6.2,0.7,0.6,1.2,0.8,7.3
298,Rodney McGruder,0.383,0.314,0.375,2.4,0.8,0.3,0.2,0.5,4
299,Alfonzo McKinnie,0.366,0.35,0.636,2.1,0.2,0.3,0.2,0.5,2.9
300,Jordan McLaughlin,0.267,0.125,1,1.8,2,0.3,0,1,2.8
301,Ben McLemore,0.385,0.338,0.852,2.4,1,0.7,0.2,0.7,9.2
302,Jordan McRae,0.473,0.394,0.895,2.4,2.8,0.6,0.3,1.1,8.9
303,Nicolo Melli,0.417,0.333,0.773,2.9,1.2,0.7,0.2,0.8,6
304,De'Anthony Melton,0.388,0.333,0.846,2.9,2.8,1.1,0.2,1.3,5.4
305,Chimezie Metu,0.583,,0.5,1.8,0.3,0,0.3,0,2.7
306,Khris Middleton,0.493,0.4,0.894,5.6,3.3,0.8,0.1,1.7,17.4
307,C.J. Miles,0.322,0.314,0.75,1.2,1.2,1,0.4,0.4,6.4
308,Malcolm Miller,0.545,0.5,0.25,0.6,0.5,0,0.1,0.3,2.3
309,Patty Mills,0.459,0.416,0.784,1.4,2.3,0.9,0.2,1,11.1
310,Paul Millsap,0.481,0.48,0.871,6,1.4,0.9,0.8,1.3,13.3
311,Shake Milton,0.345,0.235,0.857,0.9,0.5,0.1,0,1.5,3.8
312,Donovan Mitchell,0.436,0.372,0.829,4.7,3.6,1.4,0.3,2.1,24.7
313,Naz Mitrou-Long,0.375,0.182,,2,2.3,0.3,0.3,0.7,4.7
314,Malik Monk,0.441,0.264,0.848,2.6,2.3,0.4,0.3,1.5,9.3
315,E'Twaun Moore,0.421,0.382,0.636,3.2,1.4,0.5,0.1,0.7,9.6
316,Ja Morant,0.457,0.41,0.765,3.2,6.4,1.4,0.3,3.4,18.6
317,Juwan Morgan,,,,1,0,0,0,0,0
318,Marcus Morris,0.418,0.5,0.839,6,1.3,0.9,0.7,1.8,18.3
319,Markieff Morris,0.475,0.41,0.75,3.7,1.6,0.6,0.2,1.6,10.4
